#Time (us) ; Current (mA) ; Voltage (V) ; PC ; IRQ ; Function Name ; File Name ; Line number
389365000 ; 0.00154622 ; 3.29803 ; 0 ; 0 ; Unknown ; Unknown ; -1
389455000 ; 0.00121052 ; 3.29994 ; 0 ; 0 ; Unknown ; Unknown ; -1
389545000 ; 0.00122578 ; 3.29819 ; 0 ; 0 ; Unknown ; Unknown ; -1
389634000 ; 0.000909162 ; 3.30009 ; 0 ; 0 ; Unknown ; Unknown ; -1
389724000 ; 0.00109227 ; 3.29773 ; 0 ; 0 ; Unknown ; Unknown ; -1
389814000 ; 0.00180562 ; 3.30002 ; 0 ; 0 ; Unknown ; Unknown ; -1
389904000 ; 0.00135548 ; 3.29773 ; 0 ; 0 ; Unknown ; Unknown ; -1
389993000 ; 0.00369771 ; 3.29781 ; 0 ; 0 ; Unknown ; Unknown ; -1
390084000 ; 0.00126011 ; 3.29788 ; 0 ; 0 ; Unknown ; Unknown ; -1
390174000 ; 0.00165684 ; 3.29796 ; 0 ; 0 ; Unknown ; Unknown ; -1
390264000 ; 0.00184758 ; 3.29971 ; 0 ; 0 ; Unknown ; Unknown ; -1
390353000 ; 0.000706983 ; 3.29765 ; 0 ; 0 ; Unknown ; Unknown ; -1
390443000 ; 0.00139744 ; 3.30238 ; 0 ; 0 ; Unknown ; Unknown ; -1
390533000 ; 0.0016988 ; 3.29811 ; 0 ; 0 ; Unknown ; Unknown ; -1
390623000 ; 0.00133259 ; 3.2991 ; 0 ; 0 ; Unknown ; Unknown ; -1
390712000 ; 0.00153477 ; 3.29781 ; 0 ; 0 ; Unknown ; Unknown ; -1
390801000 ; 0.000836683 ; 3.29811 ; 0 ; 0 ; Unknown ; Unknown ; -1
390890000 ; -8.26595e-05 ; 3.29765 ; 0 ; 0 ; Unknown ; Unknown ; -1
390981000 ; 0.00129445 ; 3.3004 ; 0 ; 0 ; Unknown ; Unknown ; -1
391069000 ; 0.0020345 ; 3.29796 ; 0 ; 0 ; Unknown ; Unknown ; -1
391159000 ; 0.000451398 ; 3.29941 ; 0 ; 0 ; Unknown ; Unknown ; -1
391249000 ; 0.0030225 ; 3.29819 ; 0 ; 0 ; Unknown ; Unknown ; -1
391339000 ; 0.0014394 ; 3.30086 ; 0 ; 0 ; Unknown ; Unknown ; -1
391429000 ; 0.00107701 ; 3.29849 ; 0 ; 0 ; Unknown ; Unknown ; -1
391525000 ; 0.00219853 ; 3.29773 ; 0 ; 0 ; Unknown ; Unknown ; -1
391616000 ; 0.000775647 ; 3.29994 ; 0 ; 0 ; Unknown ; Unknown ; -1
391705000 ; 0.0703519 ; 3.2972 ; 0 ; 0 ; Unknown ; Unknown ; -1
391795000 ; 0.0016187 ; 3.29987 ; 0 ; 0 ; Unknown ; Unknown ; -1
391884000 ; 0.0022939 ; 3.29826 ; 0 ; 0 ; Unknown ; Unknown ; -1
391974000 ; 0.00220616 ; 3.30009 ; 0 ; 0 ; Unknown ; Unknown ; -1
392063000 ; 0.00110753 ; 3.29819 ; 0 ; 0 ; Unknown ; Unknown ; -1
392154000 ; 0.0847524 ; 3.30124 ; 0 ; 0 ; Unknown ; Unknown ; -1
392244000 ; 0.0010236 ; 3.29773 ; 0 ; 0 ; Unknown ; Unknown ; -1
392333000 ; 0.00235493 ; 3.29826 ; 0 ; 0 ; Unknown ; Unknown ; -1
392422000 ; 0.0701345 ; 3.2972 ; 0 ; 0 ; Unknown ; Unknown ; -1
392512000 ; 0.00185139 ; 3.30025 ; 0 ; 0 ; Unknown ; Unknown ; -1
392601000 ; 0.00130589 ; 3.29803 ; 0 ; 0 ; Unknown ; Unknown ; -1
392691000 ; 0.0775083 ; 3.29948 ; 0 ; 0 ; Unknown ; Unknown ; -1
392778000 ; 0.00153477 ; 3.29987 ; 0 ; 0 ; Unknown ; Unknown ; -1
392867000 ; 0.00264485 ; 3.29826 ; 0 ; 0 ; Unknown ; Unknown ; -1
392954000 ; 0.0884565 ; 3.29735 ; 0 ; 0 ; Unknown ; Unknown ; -1
393051000 ; 0.00193532 ; 3.29781 ; 0 ; 0 ; Unknown ; Unknown ; -1
393141000 ; 0.00116475 ; 3.29933 ; 0 ; 0 ; Unknown ; Unknown ; -1
393230000 ; 0.0803464 ; 3.29758 ; 0 ; 0 ; Unknown ; Unknown ; -1
393318000 ; 0.00240071 ; 3.29811 ; 0 ; 0 ; Unknown ; Unknown ; -1
393407000 ; 0.00121815 ; 3.29964 ; 0 ; 0 ; Unknown ; Unknown ; -1
393496000 ; 0.00193913 ; 3.29781 ; 0 ; 0 ; Unknown ; Unknown ; -1
393585000 ; 0.0785039 ; 3.29712 ; 0 ; 0 ; Unknown ; Unknown ; -1
393682000 ; 0.00171788 ; 3.29803 ; 0 ; 0 ; Unknown ; Unknown ; -1
393771000 ; 0.001386 ; 3.30086 ; 0 ; 0 ; Unknown ; Unknown ; -1
393860000 ; 0.0850118 ; 3.29727 ; 0 ; 0 ; Unknown ; Unknown ; -1
393948000 ; 0.00269063 ; 3.29811 ; 0 ; 0 ; Unknown ; Unknown ; -1
394038000 ; 0.00153096 ; 3.30025 ; 0 ; 0 ; Unknown ; Unknown ; -1
394135000 ; 0.000714612 ; 3.29781 ; 0 ; 0 ; Unknown ; Unknown ; -1
394224000 ; 0.000741315 ; 3.29834 ; 0 ; 0 ; Unknown ; Unknown ; -1
